| table_schema | table_name                  | ordinal_position | column_name                                       | data_type                   | type_details | is_nullable | column_default    | constraint_type | foreign_key_table_schema | foreign_key_table_name      | foreign_key_column_name |
| organisation | office_addresses            | 21               | locality                                          | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_addresses            | 22               | postal_code                                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_addresses            | 23               | postal_town                                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_addresses            | 24               | premise                                           | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_addresses            | 25               | county                                            | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_addresses            | 26               | state                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_addresses            | 27               | city                                              | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_addresses            | 28               | street                                            | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_addresses            | 29               | street_number                                     | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_addresses            | 30               | sublocality                                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_addresses            | 31               | subpremise                                        | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_addresses            | 32               | score                                             | double precision            |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_addresses            | 33               | created_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| organisation | office_addresses            | 34               | updated_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| organisation | office_industries           | 1                | id                                                | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | organisation             | office_industries           | id                      |
| organisation | office_industries           | 2                | office_id                                         | uuid                        |              | YES         | null              | FOREIGN KEY     | organisation             | offices                     | office_id               |
| organisation | office_industries           | 3                | industry_id                                       | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_industries           | 4                | code2                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_industries           | 5                | name2                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_industries           | 6                | code3                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_industries           | 7                | name3                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_industries           | 8                | code4                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_industries           | 9                | name4                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_industries           | 10               | code5                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_industries           | 11               | name5                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_industries           | 12               | code6                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_industries           | 13               | name6                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_industries           | 14               | standard                                          | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_industries           | 15               | activity_priority                                 | integer                     |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_industries           | 16               | priority                                          | integer                     |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | office_industries           | 17               | created_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| organisation | office_industries           | 18               | updated_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| organisation | offices                     | 1                | office_id                                         | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | organisation             | offices                     | office_id               |
| organisation | offices                     | 2                | organisation_id                                   | uuid                        |              | YES         | null              | FOREIGN KEY     | organisation             | identities                  | organisation_id         |
| organisation | offices                     | 3                | neuron360_office_id                               | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
| organisation | offices                     | 4                | created_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| organisation | offices                     | 5                | updated_at                                        | timestamp with time zone    |              | YES         | CURRENT_TIMESTAMP | null            | null                     | null                        | null                    |
| organisation | phones                      | 1                | id                                                | uuid                        |              | NO          | gen_random_uuid() | PRIMARY KEY     | organisation             | phones                      | id                      |
| organisation | phones                      | 2                | organisation_id                                   | uuid                        |              | YES         | null              | FOREIGN KEY     | organisation             | identities                  | organisation_id         |
| organisation | phones                      | 3                | phone                                             | text                        |              | YES         | null              | null            | null                     | null                        | null                    |
